Surname;Middle;Name;Affiliation;Department;;;
Vincent;;Bacot;École Polytechnique;LadHyX;;;
Michael;;Benzaquen;École Polytechnique;LadHyX;;;
John;W. M.;Bush;MIT;Applied Math.;;;
Yves;;Couder;Université Paris-Diderot;MSC;;;
Laurent;;Limat;Université Paris-Diderot;MSC;;;
Antonin;;Eddi;ESPCI;PMMH;;;
Emmanuel;;Fort;ESPCI;Institut Langevin;;;
Matthieu;;Labousse;ESPCI;Gulliver;;;
Michael;;Le Bars;Université Aix-Marseille;IRPHE;;;
Patrice;;Le Gal;Université Aix-Marseille;IRPHE;;;
Alexis;;Duchesne;Université de Lille;IEMN;;;
William;T. M.;Irvine;University of Chicago;James Franck Institute;;;
Frédéric;;Moisy;Université Paris-Sud;FAST;;;
Marc;;Rabaud;Université Paris-Sud;FAST;;;
François;;Pétrélis;École Normale Supérieure;LPS;;;
Stefan;;Fauve;École Normale Supérieure;LPS;;;
Chi-Tuong;;Pham;Université Paris-Sud;LIMSI;;;
Anand;U.;Oza;NJIT;Dept. of Math. Sciences;;;
Marc;;Miskin;Cornell;Physics Dept.;;;
Maxime;;Hubert;Université de Liège;Physics Dept.;;;
Luc;;Deike;Princeton University;Mech. & Aerospace Engineering;;;
